| Token Type               | Value       |   Line Number |
|--------------------------+-------------+---------------|
| INTERFACE                | interface   |             1 |
| IDENTIFIER               | D           |             1 |
| CURLY_BRACKET_OPEN       | {           |             1 |
| DATA_TYPE                | float       |             2 |
| FUNCTION                 | function    |             2 |
| IDENTIFIER               | myFunc      |             2 |
| ROUND_BRACKET_OPEN       | (           |             2 |
| ROUND_BRACKET_CLOSE      | )           |             2 |
| SEMICOLON                | ;           |             2 |
| CURLY_BRACKET_CLOSE      | }           |             3 |
| CLASS                    | class       |             6 |
| IDENTIFIER               | X           |             6 |
| CURLY_BRACKET_OPEN       | {           |             6 |
| ACCESS_MODIFIER          | public      |             7 |
| DECLARE                  | declare     |             7 |
| DATA_TYPE                | int         |             7 |
| IDENTIFIER               | myVar       |             7 |
| SEMICOLON                | ;           |             7 |
| CURLY_BRACKET_CLOSE      | }           |             8 |
| ACCESS_MODIFIER          | public      |            11 |
| CLASS                    | class       |            11 |
| IDENTIFIER               | C           |            11 |
| INHERITS                 | inherits    |            11 |
| IDENTIFIER               | X           |            11 |
| IMPLEMENTS               | implements  |            11 |
| IDENTIFIER               | D           |            11 |
| CURLY_BRACKET_OPEN       | {           |            11 |
| ACCESS_MODIFIER          | public      |            12 |
| DECLARE                  | declare     |            12 |
| DATA_TYPE                | int         |            12 |
| IDENTIFIER               | num         |            12 |
| ASSIGNMENT_OPERATOR      | =           |            12 |
| INTEGER_LITERAL          | 2           |            12 |
| SEMICOLON                | ;           |            12 |
| ACCESS_MODIFIER          | protected   |            13 |
| DECLARE                  | declare     |            13 |
| DATA_TYPE                | int         |            13 |
| SQUARE_BRACKET_OPEN      | [           |            13 |
| SQUARE_BRACKET_CLOSE     | ]           |            13 |
| IDENTIFIER               | arr         |            13 |
| ASSIGNMENT_OPERATOR      | =           |            13 |
| SQUARE_BRACKET_OPEN      | [           |            13 |
| SQUARE_BRACKET_CLOSE     | ]           |            13 |
| SEMICOLON                | ;           |            13 |
| ACCESS_MODIFIER          | public      |            15 |
| STATIC                   | static      |            15 |
| DECLARE                  | declare     |            15 |
| DATA_TYPE                | float       |            15 |
| IDENTIFIER               | myStatic    |            15 |
| ASSIGNMENT_OPERATOR      | =           |            15 |
| FLOAT_LITERAL            | 1.0         |            15 |
| SEMICOLON                | ;           |            15 |
| CONSTRUCTOR              | constructor |            17 |
| ROUND_BRACKET_OPEN       | (           |            17 |
| ROUND_BRACKET_CLOSE      | )           |            17 |
| CURLY_BRACKET_OPEN       | {           |            17 |
| THIS                     | this        |            18 |
| ARROW                    | ->          |            18 |
| IDENTIFIER               | num         |            18 |
| ASSIGNMENT_OPERATOR      | =           |            18 |
| INTEGER_LITERAL          | 4           |            18 |
| SEMICOLON                | ;           |            18 |
| SUPER                    | super       |            19 |
| ARROW                    | ->          |            19 |
| IDENTIFIER               | myVar       |            19 |
| ASSIGNMENT_OPERATOR      | =           |            19 |
| INTEGER_LITERAL          | 5           |            19 |
| SEMICOLON                | ;           |            19 |
| DECLARE                  | declare     |            20 |
| DATA_TYPE                | int         |            20 |
| IDENTIFIER               | abc         |            20 |
| ASSIGNMENT_OPERATOR      | =           |            20 |
| INTEGER_LITERAL          | 0           |            20 |
| SEMICOLON                | ;           |            20 |
| CURLY_BRACKET_CLOSE      | }           |            21 |
| CONSTRUCTOR              | constructor |            23 |
| ROUND_BRACKET_OPEN       | (           |            23 |
| DATA_TYPE                | int         |            23 |
| IDENTIFIER               | a           |            23 |
| ROUND_BRACKET_CLOSE      | )           |            23 |
| CURLY_BRACKET_OPEN       | {           |            23 |
| DECLARE                  | declare     |            24 |
| DATA_TYPE                | int         |            24 |
| IDENTIFIER               | abc         |            24 |
| ASSIGNMENT_OPERATOR      | =           |            24 |
| INTEGER_LITERAL          | 0           |            24 |
| SEMICOLON                | ;           |            24 |
| CURLY_BRACKET_CLOSE      | }           |            25 |
| ACCESS_MODIFIER          | public      |            29 |
| IDENTIFIER               | X           |            29 |
| FUNCTION                 | function    |            29 |
| IDENTIFIER               | myFunc      |            29 |
| ROUND_BRACKET_OPEN       | (           |            29 |
| ROUND_BRACKET_CLOSE      | )           |            29 |
| CURLY_BRACKET_OPEN       | {           |            29 |
| DECLARE                  | declare     |            30 |
| DATA_TYPE                | int         |            30 |
| IDENTIFIER               | xyz         |            30 |
| ASSIGNMENT_OPERATOR      | =           |            30 |
| INTEGER_LITERAL          | 2           |            30 |
| SEMICOLON                | ;           |            30 |
| DECLARE                  | declare     |            31 |
| IDENTIFIER               | X           |            31 |
| IDENTIFIER               | x           |            31 |
| SEMICOLON                | ;           |            31 |
| RETURN                   | return      |            32 |
| IDENTIFIER               | x           |            32 |
| SEMICOLON                | ;           |            32 |
| CURLY_BRACKET_CLOSE      | }           |            33 |
| ACCESS_MODIFIER          | public      |            34 |
| DATA_TYPE                | float       |            34 |
| FUNCTION                 | function    |            34 |
| IDENTIFIER               | myFunc      |            34 |
| ROUND_BRACKET_OPEN       | (           |            34 |
| DATA_TYPE                | int         |            34 |
| IDENTIFIER               | a           |            34 |
| ROUND_BRACKET_CLOSE      | )           |            34 |
| CURLY_BRACKET_OPEN       | {           |            34 |
| DECLARE                  | declare     |            35 |
| DATA_TYPE                | int         |            35 |
| IDENTIFIER               | xyz         |            35 |
| ASSIGNMENT_OPERATOR      | =           |            35 |
| INTEGER_LITERAL          | 2           |            35 |
| SEMICOLON                | ;           |            35 |
| RETURN                   | return      |            36 |
| FLOAT_LITERAL            | 0.5         |            36 |
| SEMICOLON                | ;           |            36 |
| CURLY_BRACKET_CLOSE      | }           |            37 |
| ACCESS_MODIFIER          | public      |            38 |
| DATA_TYPE                | float       |            38 |
| FUNCTION                 | function    |            38 |
| IDENTIFIER               | myFunc      |            38 |
| ROUND_BRACKET_OPEN       | (           |            38 |
| DATA_TYPE                | float       |            38 |
| IDENTIFIER               | a           |            38 |
| ROUND_BRACKET_CLOSE      | )           |            38 |
| CURLY_BRACKET_OPEN       | {           |            38 |
| DECLARE                  | declare     |            39 |
| DATA_TYPE                | int         |            39 |
| IDENTIFIER               | xyz         |            39 |
| ASSIGNMENT_OPERATOR      | =           |            39 |
| INTEGER_LITERAL          | 2           |            39 |
| SEMICOLON                | ;           |            39 |
| RETURN                   | return      |            40 |
| FLOAT_LITERAL            | 0.5         |            40 |
| SEMICOLON                | ;           |            40 |
| CURLY_BRACKET_CLOSE      | }           |            41 |
| CURLY_BRACKET_CLOSE      | }           |            42 |
| ACCESS_MODIFIER          | public      |            45 |
| CLASS                    | class       |            45 |
| IDENTIFIER               | A           |            45 |
| INHERITS                 | inherits    |            45 |
| IDENTIFIER               | C           |            45 |
| CURLY_BRACKET_OPEN       | {           |            45 |
| CONSTRUCTOR              | constructor |            46 |
| ROUND_BRACKET_OPEN       | (           |            46 |
| DATA_TYPE                | int         |            46 |
| IDENTIFIER               | foo         |            46 |
| ROUND_BRACKET_CLOSE      | )           |            46 |
| CURLY_BRACKET_OPEN       | {           |            46 |
| CURLY_BRACKET_CLOSE      | }           |            47 |
| MAIN                     | mainEntry   |            48 |
| ROUND_BRACKET_OPEN       | (           |            48 |
